12:22:48,798  INFO DruidDataSource:2029 - {dataSource-0} closing ...
15:47:39,815 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:47:39,874 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:47:39,966 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:49:39,734 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:49:39,783 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:49:39,866 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:53:54,581 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:53:54,628 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:53:54,683 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
15:54:34,219 ERROR ResourceController:1314 - java.lang.IllegalArgumentException: org.hibernate.QueryException: Legacy-style query parameters (`?`) are no longer supported; use JPA-style ordinal parameters (e.g., `?1`) instead : from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ?  [from com.dcampus.weblib.entity.GroupResourceReceive grr where grr.recipient = ?1 and grr.resource = ? ]
